Thingy_ID,Model,Before_TL_Occupied,Before_TL_Not_Occupied,After_TL_Occupied,After_TL_Not_Occupied
026,LDA,3265,5771,2869,6167
026,CART,2746,6290,2546,6490
026,RF,2548,6488,2547,6489
008,LDA,2176,6860,1972,7064
008,CART,1444,7592,1695,7341
008,RF,1697,7339,1709,7327
032,LDA,498,8538,408,8628
032,CART,382,8654,373,8663
032,RF,369,8667,376,8660
034,LDA,1392,7644,1353,7683
034,CART,903,8133,1236,7800
034,RF,1207,7829,1241,7795
052,LDA,1269,7767,1239,7797
052,CART,657,8379,1046,7990
052,RF,1040,7996,1045,7991
063,LDA,2577,6459,1260,7776
063,CART,1121,7915,1379,7657
063,RF,1365,7671,1394,7642
